pl_name,hostname,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_bmassprov,pl_orbper,pl_eqt,pl_insol,pl_orbsmax,st_teff,st_rad,st_mass,st_met,st_age,sy_dist
"11 Com b","11 Com",2007,"Radial Velocity",12.20000000,4914.89848585,"Msini",323.21000000000,803.26,68.5387,1.1780000000,4874.00,13.760000,2.090000,-0.2600,,93.18460000
"11 UMi b","11 UMi",2009,"Radial Velocity",12.30000000,4684.81420000,"Msini",516.21997000000,896.43,114.8502,1.5300000000,4213.00,29.790000,2.780000,-0.0200,1.5600,125.32100000
"14 And b","14 And",2008,"Radial Velocity",13.10000000,1131.15130051,"Msini",186.76000000000,909.92,115.1634,0.7750000000,4888.00,11.550000,1.780000,-0.2100,4.5000,75.43920000
"14 Her b","14 Her",2002,"Radial Velocity",12.50000000,2828.67282230,"Mass",1766.41000000000,147.32,0.0873,2.8390000000,5338.00,0.930000,0.970000,0.4300,4.6000,17.93230000
"16 Cyg B b","16 Cyg B",1996,"Radial Velocity",13.50000000,565.73740000,"Msini",798.50000000000,228.76,0.4540,1.6600000000,5750.00,1.130000,1.080000,0.0600,7.4000,21.13970000
"17 Sco b","17 Sco",2020,"Radial Velocity",12.90000000,1373.01871824,"Msini",578.38000000000,847.51,85.4316,1.4500000000,4157.00,25.920000,1.220000,-0.0100,5.1300,124.95300000
"18 Del b","18 Del",2008,"Radial Velocity",12.50000000,2926.24614325,"Msini",982.85000000000,452.72,7.0173,2.4760000000,4980.00,8.800000,2.100000,-0.0600,1.1000,76.22200000
"1RXS J160929.1-210524 b","1RXS J160929.1-210524",2008,"Imaging",18.64700000,3000.00000000,"Mass",,1700.00,0.0000,330.0000000000,4060.00,1.313160,0.850000,,0.0050,139.13500000
"24 Boo b","24 Boo",2018,"Radial Velocity",13.90000000,280.64248338,"Msini",30.33000000000,1840.86,2001.2754,0.1940000000,4816.00,12.190000,1.050000,-0.7800,6.9200,95.98630000
"24 Sex b","24 Sex",2010,"Radial Velocity",13.40000000,632.46000000,"Msini",452.80000000000,471.32,8.2099,1.3330000000,5098.00,4.900000,1.540000,-0.0300,2.7000,72.06910000
"24 Sex c","24 Sex",2010,"Radial Velocity",13.90000000,273.32000000,"Msini",883.00000000000,377.31,3.3719,2.0800000000,5098.00,4.900000,1.540000,-0.0300,2.7000,72.06910000
"2M0437 b","2MASS J04372171+2651014",2021,"Imaging",13.00000000,1271.31362800,"Mass",,1450.00,0.0000,118.0000000000,3100.00,0.840000,0.170000,0.0100,0.0025,128.48400000
"2MASS J01033563-5515561 AB b","2MASS J01033563-5515561 A",2013,"Imaging",12.30000000,4131.79000000,"Mass",,,,84.0000000000,,,0.190000,,0.0300,47.20000000
"2MASS J01225093-2439505 b","2MASS J01225093-2439505",2013,"Imaging",11.20900000,7786.50000000,"Mass",,1600.00,0.0000,52.0000000000,3530.00,0.366450,0.400000,,0.1200,33.82810000
"2MASS J02192210-3925225 b","2MASS J02192210-3925225",2015,"Imaging",16.14096000,4417.83700000,"Mass",,6.27,0.0000,156.0000000000,3064.00,0.281000,0.108000,,0.0350,40.08964117
"2MASS J0249-0557 c","2MASS J0249-0557 A",2018,"Imaging",17.37392009,3616.88727166,"Mass",,1723.00,0.0000,1950.0000000000,2859.00,0.315959,0.046000,,0.0220,66.06130000
"2MASS J03590986+2009361 b","2MASS J03590986+2009361",2024,"Imaging",12.20000000,5720.91132600,"Mass",,2369.00,0.0000,572.0000000000,2943.00,0.289776,0.264996,,,117.43500000
"2MASS J04414489+2301513 b","2MASS J04414489+2301513",2010,"Imaging",12.60000000,2383.60000000,"Mass",,17.60,0.0000,15.0000000000,2936.00,0.231916,0.019000,,0.0010,120.42398696
"2MASS J11011926-7732383 b","2MASS J11011926-7732383",2024,"Imaging",11.90000000,8899.19539600,"Mass",,2677.00,,266.0000000000,,,,,,
"2MASS J11550485-7919108 b","2MASS J11550485-7919108",2024,"Imaging",12.10000000,6356.56814000,"Mass",,2506.00,0.0000,587.0000000000,3021.00,0.600455,0.588460,,,100.86200000
"2MASS J12073346-3932539 b","2MASS J12073346-3932539",2004,"Imaging",15.69257298,1652.70771640,"Mass",,1163.00,0.0000,46.0000000000,2825.00,0.218870,0.188001,,0.0100,64.30800000
"2MASS J19383260+4603591 b","2MASS J19383260+4603591",2015,"Eclipse Timing Variations",13.40000000,603.87700000,"Mass",406.00000000000,669.65,33.2985,0.9200000000,29564.00,0.203000,0.480000,-0.0920,,396.33200000
"2MASS J21252752-8138278 b","2MASS J21252752-8138278",2024,"Imaging",12.40000000,3813.94088400,"Mass",,1616.00,0.0000,7493.0000000000,3592.00,0.672832,0.643977,,,34.11540000
"2MASS J22362452+4751425 b","2MASS J22362452+4751425",2016,"Imaging",12.30000000,3972.87500000,"Mass",,10.30,0.0000,230.0000000000,4045.00,0.641152,0.600000,,0.1200,69.57370000
"2MASS J22501512+2325342 b","2MASS J22501512+2325342",2018,"Imaging",11.90000000,9534.85221000,"Mass",,1600.00,0.0000,518.0000000000,3352.00,0.437589,0.433173,,0.1500,57.23090000
"4 UMa b","4 UMa",2006,"Radial Velocity",12.60000000,2511.48007211,"Msini",270.27000000000,967.44,150.0929,0.8770000000,4415.00,18.110000,1.234000,-0.2500,4.6040,73.46030000
"47 UMa b","47 UMa",1996,"Radial Velocity",13.20000000,804.08000000,"Msini",1078.00000000000,215.23,0.3576,2.1000000000,5872.00,1.213340,1.060000,0.0400,6.4800,13.79670000
"47 UMa c","47 UMa",2001,"Radial Velocity",14.20000000,171.62100000,"Msini",2391.00000000000,164.38,0.1217,3.6000000000,5872.00,1.213340,1.060000,0.0400,6.4800,13.79670000
"47 UMa d","47 UMa",2009,"Radial Velocity",13.50000000,521.22000000,"Msini",14002.00000000000,91.58,0.0117,11.6000000000,5872.00,1.213340,1.060000,0.0400,6.4800,13.79670000
"51 Peg b","51 Peg",1995,"Radial Velocity",14.10000000,193.87532827,"Mass",4.23079660000,1328.93,506.1775,0.0520000000,5761.00,1.190000,1.070000,0.2058,10.0000,15.46140000
"55 Cnc B b","55 Cnc B",2025,"Radial Velocity",1.69000000,3.50000000,"Msini",6.79940000000,395.41,4.0271,0.0440000000,3286.00,0.274000,0.260000,0.1600,10.0000,12.47730000
"55 Cnc B c","55 Cnc B",2025,"Radial Velocity",2.16000000,5.30000000,"Msini",33.74700000000,230.04,0.4613,0.1300000000,3286.00,0.274000,0.260000,0.1600,10.0000,12.47730000
"55 Cnc b","55 Cnc",1996,"Radial Velocity",13.90000000,263.97850000,"Mass",14.65155200000,700.00,45.6336,0.1180000000,5198.00,0.980000,1.015000,0.3900,10.0000,12.58550000
"55 Cnc c","55 Cnc",2004,"Radial Velocity",8.51000000,54.47380000,"Mass",44.39360000000,499.27,10.4149,0.2470000000,5198.00,0.980000,1.015000,0.3900,10.0000,12.58550000
