pl_name,hostname,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_bmassprov,pl_orbper,pl_eqt,pl_insol,pl_orbsmax,st_teff,st_rad,st_mass,st_met,st_age,sy_dist
AU Mic b,AU Mic,2020,Transit,4.79,8.99,Mass,8.463446,554.8,21.2,0.07,3540,0.862,0.635,0.01,0.019,9.7221
AU Mic c,AU Mic,2021,Transit,2.79,14.46,Mass,18.859023,424.7,7.3,0.119,3540,0.862,0.635,0.01,0.019,9.7221
BD+20 594 b,BD+20 594,2016,Transit,2.57807,22.2481,Mass,41.6855,546,15.1513,0.241,5766,1.08,1.67,-0.15,3.34,179.461
BD-14 3065 b,BD-14 3065 A,2024,Transit,21.59,3932,Mass,4.2889731,2001,646.761,0.0656,6935,2.35,1.41,-0.34,2.24,589.423
CoRoT-1 b,CoRoT-1,2008,Transit,16.7,327.35,Mass,1.5089557,1898,2852.63,0.02752,5950,1.11,0.95,-0.3,1.6,787.909
CoRoT-10 b,CoRoT-10,2010,Transit,10.87,874,Mass,13.2406,600,16.1089,0.1055,5075,0.79,0.89,0.26,3,338.386
CoRoT-11 b,CoRoT-11,2010,Transit,16.03,740.51,Mass,2.99433,1657,1890.649,0.0436,6440,1.37,1.27,-0.03,2,655.037
CoRoT-12 b,CoRoT-12,2010,Transit,16.14,291.438,Mass,2.828042,1442,661.1334,0.04016,5675,1.116,1.078,0.16,6.3,1126.37
CoRoT-13 b,CoRoT-13,2010,Transit,9.92,415.704,Mass,4.03519,1700,546.5339,0.051,5945,1.01,1.09,0.01,1.635,1148.93
CoRoT-14 b,CoRoT-14,2010,Transit,12.22,2415.4,Mass,1.51214,1952,1803.4781,0.027,6035,1.21,1.13,0.05,4.2,1744.6
CoRoT-16 b,CoRoT-16,2011,Transit,13.11,170.032,Mass,5.35227,1195.53,96.1756,0.0618,5650,1.19,1.098,0.19,6.73,732.409
CoRoT-17 b,CoRoT-17,2011,Transit,11.43,772.29,Mass,3.7681,1626,640.9232,0.0461,5740,1.59,1.04,0,10.7,1176.12
CoRoT-18 b,CoRoT-18,2011,Transit,14.68,1102.82,Mass,1.9000693,1550,823.7009,0.0295,5440,1,0.95,-0.1,0.6,764.889
CoRoT-19 b,CoRoT-19,2011,Transit,14.46,352.78,Mass,3.89713,2000,1103.809,0.0518,6090,1.65,1.21,-0.02,5,790.663
CoRoT-2 b,CoRoT-2,2008,Transit,16.432,1102.82,Mass,1.7429935,1521,932.9076,0.02798,5625,0.906,0.96,0.04,2.7,213.283
CoRoT-20 b,CoRoT-20,2011,Transit,9.41556,1366.669,Mass,9.24285,1024,180.8704,0.09,5880,1.02,1.14,0.14,0.1,844.061
CoRoT-21 b,CoRoT-21,2012,Transit,14.5717,718.2958,Mass,2.72474,2044.44,2915.5997,0.0417,6200,1.95,1.29,0,4.1,1398.834197
CoRoT-22 b,CoRoT-22,2014,Transit,4.88,12.2,Mass,9.75598,885,121.8837,0.092,5939,1.136,1.099,0.17,3.3,627.158
CoRoT-23 b,CoRoT-23,2011,Transit,11.77,889.9,Mass,3.6313,1660,530.0221,0.048,5900,1.61,1.14,0.05,7.2,1060.97
CoRoT-24 b,CoRoT-24,2014,Transit,3.7,5.7,Mass,5.1134,1070,79.826,0.056,4950,0.86,0.91,0.3,11,591.555
CoRoT-24 c,CoRoT-24,2014,Transit,5,28,Mass,11.759,850,26.0656,0.098,4950,0.86,0.91,0.3,11,591.555
CoRoT-25 b,CoRoT-25,2013,Transit,12.11,85.81,Mass,4.86069,1330,414.1434,0.0578,6040,1.19,1.09,-0.01,4.5,1103.48
CoRoT-26 b,CoRoT-26,2013,Transit,14.12,165.26,Mass,4.20474,1600,1021.0065,0.0526,5590,1.79,1.09,0.01,8.6,1045.18
CoRoT-27 b,CoRoT-27,2014,Transit,11.287,3302.11,Mass,3.57532,1500,300.8697,0.0476,5900,1.08,1.05,-0.1,4.21,1010.28
CoRoT-28 b,CoRoT-28,2015,Transit,10.704595,153.82972,Mass,5.20851,1349.25,672.7522,0.0603,5150,1.78,1.01,0.15,12,766.183
CoRoT-29 b,CoRoT-29,2015,Transit,10.0881,270.1555,Mass,2.85057,1224.75,540.3673,0.0386,5260,0.9,0.97,0.2,4.5,806.507
CoRoT-3 b,CoRoT-3,2008,Transit,11.32,6883.91,Mass,4.2568,1695,735.4472,0.05783,6740,1.56,1.37,0.14,2.2,768.771
CoRoT-30 b,CoRoT-30,2020,Transit,11.309881,921.707,Mass,9.06005,894.6,89.2872,0.0844,5650,0.91,0.98,0.02,3,1032.23
CoRoT-31 b,CoRoT-31,2020,Transit,16.36514,266.9772,Mass,4.62941,1664.86,727.7611,0.0586,5700,2.15,1.25,0,4.7,2005.76
CoRoT-32 b,CoRoT-32,2018,Transit,6.38913,47.6745,Mass,6.71837,938,132.26,0.071,5970,0.79,1.08,0,,576.683
CoRoT-35 b,CoRoT-35,2022,Transit,18.83108758,349.6112477,Mass,3.22748,1747,1251.8629,0.0429,6390,1.65,1.01,-0.5,6.1,1123.21
CoRoT-36 b,CoRoT-36,2022,Transit,15.80466279,216.1233168,Mass,5.616531,1567,1491.0287,0.066,6730,1.52,1.32,-0.1,2.1,925.958
CoRoT-4 b,CoRoT-4,2008,Transit,13.34,228.83,Mass,9.20205,1074,203.9517,0.09,6190,1.17,1.16,0.05,1,726.412
CoRoT-5 b,CoRoT-5,2009,Transit,15.558,148.42,Mass,4.0378962,1438,786.2949,0.04947,6100,1.186,1,-0.25,6.9,882.472
CoRoT-6 b,CoRoT-6,2009,Transit,13.068,940.74,Mass,8.886593,1017,145.1436,0.0855,6090,1.025,1.05,-0.2,2.5,645.294
CoRoT-7 b,CoRoT-7,2009,Transit,1.68135,4.07660518,Mass,0.85359163,1756,1773.7952,0.017016,5275,0.83,0.82,0.05,1.8,159.906
CoRoT-8 b,CoRoT-8,2010,Transit,6.39,69.92,Mass,6.21229,870,19.817,0.063,5080,0.77,0.88,0.3,3,322.037
CoRoT-9 b,CoRoT-9,2009,Transit,11.948794,266.9772,Mass,95.272656,420,3.444,0.4021,5625,0.96,0.96,-0.01,6,412.98
DS Tuc A b,DS Tuc A,2019,Transit,5.7,413.179,Mass,8.138268,850,317.6063,,5428,0.964,1.01,0,0.045,44.0622
EPIC 201595106 b,EPIC 201595106,2021,Transit,1.565,7.67,Mass,0.87724,2038,2852,0.0177,5679,0.98,0.958,0.01,6,232.1
EPIC 211945201 b,EPIC 211945201,2018,Transit,5.76,11,Mass,19.49221,817,101,0.1493,6069,1.39,1.17,0.1,3.99,181.69
EPIC 220674823 b,EPIC 220674823,2016,Transit,1.606,7.54,Mass,0.57130782,2324,4467,0.0132,5578,0.99,0.913,-0.005,7.5,244.59
EPIC 220674823 c,EPIC 220674823,2016,Transit,2.712,7.9,Mass,13.340603,838,70,0.1078,5578,0.99,0.913,-0.005,7.5,244.59
EPIC 229004835 b,EPIC 229004835,2023,Transit,2.332,10.4,Mass,16.141132,804,69.7,0.1237,5868,0.999,0.97,-0.12,4.9,121.971
EPIC 246851721 b,EPIC 246851721,2018,Transit,11.780659,953.49,Mass,6.180235,1401,642,0.07229,6202,1.586,1.317,0.141,3.02,372.632
EPIC 248847494 b,EPIC 248847494,2018,Transit,12.44199,4131.79,Mass,3650,183,0.19,4.5,4898,2.7,0.9,-0.23,,551.886
EPIC 249893012 b,EPIC 249893012,2020,Transit,1.95,8.75,Mass,3.5951,1616,1037,0.047,5430,1.71,1.05,0.2,9,321.296
EPIC 249893012 c,EPIC 249893012,2020,Transit,3.67,14.67,Mass,15.624,990,160,0.13,5430,1.71,1.05,0.2,9,321.296
EPIC 249893012 d,EPIC 249893012,2020,Transit,3.94,10.18,Mass,35.747,752,53,0.22,5430,1.71,1.05,0.2,9,321.296
G 9-40 b,G 9-40,2019,Transit,1.9,4,Mass,5.7459982,440.6,6.27,0.0418,3395,0.3026,0.2952,-0.07,9.9,27.9276
GJ 1132 b,GJ 1132,2015,Transit,1.19151465,1.83704819,Mass,1.62892911,583.8,19.3,0.0157,3229,0.2211,0.1945,-0.17,5,12.613
GJ 1214 b,GJ 1214,2009,Transit,2.733,8.41,Mass,1.580404531,567,17.2,0.01505,3101,0.2162,0.182,0.24,3,14.6427
GJ 1252 b,GJ 1252,2020,Transit,1.193,1.32,Mass,0.5182331,1090,233,0.00915,3458,0.391,0.381,0.1,3.9,20.373
GJ 143 b,GJ 143,2019,Transit,2.61,22.7,Mass,35.61253,422,7.0423,0.1915,4640,0.695,0.73,0.003,3.8,16.32
GJ 3090 b,GJ 3090,2022,Transit,2.18,4.52,Mass,2.85310198,723,45.4,0.0316,3707,0.516,0.519,0.12,,22.4751
GJ 341 b,GJ 341,2025,Transit,0.88,4,Mass,7.57686,629,13.8,,3770,0.5066,0.48,-0.16,,10.454
GJ 3473 b,GJ 3473,2020,Transit,1.264,1.86,Mass,1.1980035,773,59.4,0.01589,3347,0.364,0.36,0.11,,27.3644
GJ 357 b,GJ 357,2019,Transit,1.2,1.83,Mass,3.9306,518,12.6,0.036,3505,0.337,0.342,-0.12,,9.44181
GJ 367 b,GJ 367,2021,Transit,0.736,0.503,Mass,0.3219226,1329,579,0.0071,3535,0.457,0.451,-0.01,,9.41263
