fold,model,training_fraction,training_rows,training_hosts,rmse_earth_radii
1,Log-linear regression,0.100000,127,104,4.489341
1,Random forest,0.100000,127,104,2.510375
1,Log-linear regression,0.250000,343,261,3.929622
1,Random forest,0.250000,343,261,2.942450
1,Log-linear regression,0.500000,666,522,3.945224
1,Random forest,0.500000,666,522,2.624650
1,Log-linear regression,0.750000,986,783,3.976986
1,Random forest,0.750000,986,783,2.614759
1,Log-linear regression,1.000000,1336,1044,4.025439
1,Random forest,1.000000,1336,1044,2.391970
2,Log-linear regression,0.100000,129,104,5.140097
2,Random forest,0.100000,129,104,2.334470
2,Log-linear regression,0.250000,333,261,4.235691
2,Random forest,0.250000,333,261,2.425206
2,Log-linear regression,0.500000,665,522,4.045179
2,Random forest,0.500000,665,522,2.262366
2,Log-linear regression,0.750000,980,782,4.166650
2,Random forest,0.750000,980,782,2.186019
2,Log-linear regression,1.000000,1336,1043,4.054253
2,Random forest,1.000000,1336,1043,2.196672
3,Log-linear regression,0.100000,145,104,4.074202
3,Random forest,0.100000,145,104,2.634230
3,Log-linear regression,0.250000,347,261,3.871376
3,Random forest,0.250000,347,261,2.527027
3,Log-linear regression,0.500000,676,522,3.973079
3,Random forest,0.500000,676,522,2.309184
3,Log-linear regression,0.750000,1013,782,3.991603
3,Random forest,0.750000,1013,782,2.253968
3,Log-linear regression,1.000000,1336,1043,3.991297
3,Random forest,1.000000,1336,1043,2.295948
4,Log-linear regression,0.100000,127,104,3.963571
4,Random forest,0.100000,127,104,2.816095
4,Log-linear regression,0.250000,327,261,4.056508
4,Random forest,0.250000,327,261,2.644129
4,Log-linear regression,0.500000,659,522,4.112083
4,Random forest,0.500000,659,522,2.745692
4,Log-linear regression,0.750000,995,782,4.150724
4,Random forest,0.750000,995,782,2.665653
4,Log-linear regression,1.000000,1336,1043,4.093496
4,Random forest,1.000000,1336,1043,2.534115
5,Log-linear regression,0.100000,147,104,4.624809
5,Random forest,0.100000,147,104,3.007484
5,Log-linear regression,0.250000,347,261,4.698429
5,Random forest,0.250000,347,261,2.867396
5,Log-linear regression,0.500000,686,522,4.784255
5,Random forest,0.500000,686,522,2.730824
5,Log-linear regression,0.750000,1012,782,4.891701
5,Random forest,0.750000,1012,782,2.708883
5,Log-linear regression,1.000000,1336,1043,4.719386
5,Random forest,1.000000,1336,1043,2.781238
