model,training_fraction,training_rows_mean,training_hosts_mean,rmse_mean,rmse_sd
Log-linear regression,0.100000,135.000000,104.000000,4.458404,0.470591
Log-linear regression,0.250000,339.400000,261.000000,4.158325,0.332682
Log-linear regression,0.500000,670.400000,522.000000,4.171964,0.348399
Log-linear regression,0.750000,997.200000,782.200000,4.235533,0.377108
Log-linear regression,1.000000,1336.000000,1043.200000,4.176774,0.305646
Random forest,0.100000,135.000000,104.000000,2.660531,0.261787
Random forest,0.250000,339.400000,261.000000,2.681242,0.219998
Random forest,0.500000,670.400000,522.000000,2.534543,0.232431
Random forest,0.750000,997.200000,782.200000,2.485856,0.246150
Random forest,1.000000,1336.000000,1043.200000,2.439989,0.227798
